project_name,lang,build_command,github_url,clean_rep1,clean_rep2,clean_rep3,clean_rep4,clean_rep5,clean_rep6,clean_rep7,clean_rep8,clean_median,ebpf_rep1,ebpf_rep2,ebpf_rep3,ebpf_rep4,ebpf_rep5,ebpf_rep6,ebpf_rep7,ebpf_rep8,ebpf_median,ratio,delta_sec
kusionStack,go,make build-local-linux,https://github.com/KusionStack/kusion,167.861,145.051,158.934,147.219,167.540,145.220,160.946,146.939,153.077,162.139,176.371,160.712,180.958,164.162,178.319,161.517,179.124,170.267,1.1123,17.190
Lima,go,make binaries,https://github.com/lima-vm/lima,157.205,156.388,157.114,156.024,156.255,155.310,157.665,155.641,156.322,154.774,155.531,155.850,155.341,155.141,155.637,155.543,155.200,155.436,0.9943,-0.886
Logging Operator,go,make manager,https://github.com/kube-logging/logging-operator,62.167,60.625,60.039,60.381,61.442,60.423,59.931,60.788,60.524,66.110,65.885,66.107,65.668,65.117,65.082,65.125,64.964,65.397,1.0805,4.873
LoxiLB,go,make,https://github.com/loxilb-io/loxilb,42.899,42.650,42.521,42.294,43.800,44.127,43.154,42.163,42.775,45.489,46.060,47.408,45.579,45.609,45.697,46.931,45.398,45.653,1.0673,2.879
NATS,go,CGO_ENABLED=0 go build .,https://github.com/nats-io/nats-server,21.260,20.585,20.956,20.270,20.831,20.334,20.474,20.482,20.534,23.514,21.749,21.858,21.903,22.182,22.296,21.504,21.962,21.932,1.0681,1.399
Notary Project,go,make build,https://github.com/notaryproject/notation,11.249,10.706,11.169,10.900,11.047,11.000,10.862,10.890,10.950,11.686,11.744,11.806,12.022,11.940,11.975,11.707,11.733,11.775,1.0753,0.825
OAuth2 Proxy,go,make build,https://github.com/oauth2-proxy/oauth2-proxy,23.983,24.374,24.766,25.612,23.958,24.184,24.079,24.625,24.279,25.598,26.119,25.367,26.226,25.460,26.240,26.101,25.579,25.849,1.0647,1.570
Open Cluster Management,go,make build,https://github.com/open-cluster-management-io/ocm,92.414,87.546,87.160,87.530,89.861,90.418,87.103,87.522,87.538,100.123,96.682,95.379,96.964,100.005,100.097,95.307,99.428,98.196,1.1218,10.658
Open Policy Containers,go,make deps && make build,https://github.com/opcr-io/policy,91.203,90.530,92.965,90.178,95.042,89.754,92.388,109.710,91.796,96.555,98.334,96.051,98.570,96.772,104.759,97.456,107.151,97.895,1.0664,6.100
OpenChoreo,go,make go.build,https://github.com/openchoreo/openchoreo,84.878,84.275,83.618,83.434,83.971,83.463,83.081,83.523,83.570,90.035,88.164,87.041,88.475,87.753,87.616,87.201,87.309,87.684,1.0492,4.114
Opencost,go,make go/bin,https://github.com/opencost/opencost,80.398,79.805,78.207,79.933,79.837,79.330,81.006,80.644,79.885,89.130,90.374,88.955,89.247,89.715,88.300,89.872,89.820,89.481,1.1201,9.596
OpenFGA,go,make build,https://github.com/openfga/openfga,43.647,42.868,43.164,42.882,42.990,42.741,42.659,42.777,42.875,46.863,46.401,45.952,46.307,46.098,46.858,46.376,46.481,46.389,1.0819,3.514
