project_name,lang,build_command,github_url,rep,arm,duration_sec
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,3,ebpf,89.706
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,4,clean,81.930
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,4,ebpf,94.663
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,5,clean,83.694
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,5,ebpf,91.440
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,6,clean,82.021
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,6,ebpf,91.530
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,7,clean,81.158
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,7,ebpf,89.725
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,8,clean,81.060
CloudNativePG,go,make build,https://github.com/cloudnative-pg/cloudnative-pg,8,ebpf,90.152
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,1,clean,71.432
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,1,ebpf,71.643
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,2,clean,67.487
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,2,ebpf,72.209
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,3,clean,68.209
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,3,ebpf,71.168
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,4,clean,67.969
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,4,ebpf,71.809
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,5,clean,68.368
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,5,ebpf,71.536
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,6,clean,67.247
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,6,ebpf,74.531
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,7,clean,69.389
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,7,ebpf,71.337
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,8,clean,67.048
Clusternet,go,make binaries,https://github.com/clusternet/clusternet,8,ebpf,73.264
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,1,clean,125.700
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,1,ebpf,132.489
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,2,clean,121.087
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,2,ebpf,131.286
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,3,clean,123.162
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,3,ebpf,128.841
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,4,clean,119.029
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,4,ebpf,129.535
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,5,clean,124.344
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,5,ebpf,127.394
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,6,clean,119.292
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,6,ebpf,131.236
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,7,clean,121.564
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,7,ebpf,127.296
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,8,clean,119.391
Clusterpedia,go,make all,https://github.com/clusterpedia-io/clusterpedia,8,ebpf,129.491
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,1,clean,9.813
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,1,ebpf,10.143
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,2,clean,9.675
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,2,ebpf,10.053
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,3,clean,9.520
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,3,ebpf,10.079
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,4,clean,9.745
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,4,ebpf,10.201
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,5,clean,9.951
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,5,ebpf,10.280
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,6,clean,9.794
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,6,ebpf,10.713
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,7,clean,9.692
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,7,ebpf,10.027
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,8,clean,9.881
CNI,go,go build -o ./bin/cnitool ./cnitool/,https://github.com/containernetworking/cni,8,ebpf,10.329
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,1,clean,14.287
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,1,ebpf,15.046
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,2,clean,13.612
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,2,ebpf,14.668
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,3,clean,14.233
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,3,ebpf,14.557
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,4,clean,13.599
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,4,ebpf,14.706
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,5,clean,14.661
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,5,ebpf,14.590
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,6,clean,13.445
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,6,ebpf,14.726
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,7,clean,13.751
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,7,ebpf,14.357
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,8,clean,13.673
container2wasm,go,make build,https://github.com/container2wasm/container2wasm,8,ebpf,14.626
containerd,go,make all,https://github.com/containerd/containerd,1,clean,49.696
containerd,go,make all,https://github.com/containerd/containerd,1,ebpf,50.675
containerd,go,make all,https://github.com/containerd/containerd,2,clean,49.188
